Company,Quarters,Closing Stock Price,Enterprise Value,Oil Price,Change in Oil Price,CPI,Inflation,Net Income,Consumption of Raw Materials,Purchase of Traded Goods,Cost of Goods Sold,Gross Revenue,EXPENDITURE,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depriciation,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,Other Income,EBIT,Interest,P/L Before Exceptional Items & Tax,Exceptional Items,EBT,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,PAT,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),Basic EPS Before Extra Ordinary,Ratios
Hatsun Agro,Jun '15,185.22,4947.51,3915.3,0.27766012,123,0.054,867.11,705.37,0.06,705.43,161.68,108.61,-87.92,0,26.93,25.78,0,0,0,0,0,143.82,0.99,54.06,16.1,37.96,0,37.96,9.28,28.68,0,0,28.68,10.87,0,0,2.64,
Hatsun Agro,Mar '15,166.36,3872.97,3299.23,-0.157349373,120.2,0.053,771.41,604.51,0.06,604.57,166.84,136.68,-33.94,0,24.72,26.09,0,0,0,0,0,119.81,0.37,30.53,16.73,13.8,0,13.8,5.13,8.67,0,0,8.67,10.87,0,0,0.8,
Hatsun Agro,Dec '14,163.71,3872.97,3806.55,0.153769213,119.4,0.043,713.23,611.55,0.04,611.59,101.64,72.92,-88.14,0,23.22,25.5,0,0,0,0,0,112.34,1.6,30.32,16.93,13.39,0,13.39,0.49,12.9,0,0,12.9,10.87,0,0,1.19,
Hatsun Agro,Sep '14,169.63,3872.97,5835.69,0.533065374,120.1,0.056,745.2,570.25,0.06,570.31,174.89,147.09,-11.48,0,23.29,23.21,0,0,0,0,0,112.07,1.93,29.73,16.31,13.42,0,13.42,3.15,10.27,0,0,10.27,10.77,0,0,0.95,
Hatsun Agro,Jun '14,147.17,3872.97,6471.05,0.108874872,116.7,0.068,703.25,555.15,0.06,555.21,148.04,130.43,-23.93,0,21.9,19.24,0,0,0,0,0,113.22,2.54,20.15,13.39,6.76,0,6.76,-0.57,7.33,0,0,7.33,10.77,0,0,0.68,
Tasty Bite Eatables,Mar '20,10446.95,2356.29,2392.98,-0.198991786,148.6,0.058,115.08,70.89,0,70.89,44.19,35.87,5.77,0,8.49,4.32,0,0,0,0,0,17.29,4.42,12.74,1.04,11.7,0,11.7,3.18,8.52,0,0,8.52,2.57,0,0,33.25,
Tasty Bite Eatables,Dec '19,8306.80,2356.29,4509.77,0.884583239,150.4,0.074,114.17,76.44,0,76.44,37.73,29.14,-0.54,0,8.25,4.34,0,0,0,0,0,17.09,10.6,19.19,0.94,18.25,0,18.25,4.56,13.69,0,0,13.69,2.57,0,0,53.31,
Tasty Bite Eatables,Sep '19,9664.00,2356.29,4282.87,-0.050312987,145.8,0.04,105.67,72.83,0,72.83,32.84,26.26,-1.7,0,7.44,4.41,0,0,0,0,0,16.11,6.99,13.57,1.1,12.47,0,12.47,1.52,10.95,0,0,10.95,2.57,0,0,42.71,
Tasty Bite Eatables,Jun '19,9357.85,2356.29,4149.67,-0.03110064,142.9,0.032,90.85,66.14,0,66.14,24.71,20.39,-6.67,0,7.26,3.78,0,0,0,0,0,16.02,7.04,11.36,0.45,10.91,0,10.91,3.23,7.68,0,0,7.68,2.57,0,0,29.96,
Tasty Bite Eatables,Mar '19,8358.60,2168.79,4432.04,0.068046375,140.4,0.029,85.43,53.16,0,53.16,32.27,22.61,-2.37,0,6.09,3.37,0,0,0,0,0,15.52,4.04,13.7,0.78,12.92,0,12.92,4.88,8.04,0,0,8.04,2.57,0,0,31.31,
Tasty Bite Eatables,Dec '18,8983.50,2168.79,3822.07,-0.137627368,140.1,0.021,87.76,54.56,0,54.56,33.2,25.65,0.94,0,6.96,3.25,0,0,0,0,0,14.5,4.24,11.79,1.06,10.73,0,10.73,3.79,6.94,0,0,6.94,2.57,0,0,27.01,
Tasty Bite Eatables,Sep '18,8275.20,2168.79,5448.55,0.425549506,140.2,0.037,88.36,54.82,0,54.82,33.54,23.03,-1.44,0,6.85,2.99,0,0,0,0,0,14.63,5.09,15.6,1.24,14.36,0,14.36,5.05,9.31,0,0,9.31,2.57,0,0,36.35,
Tasty Bite Eatables,Jun '18,7445.35,2168.79,4879.75,-0.104394747,138.5,0.049,83.27,47.29,0,47.29,35.98,26.18,-1.11,0,7.1,3.04,0,0,0,0,0,17.15,0.51,10.31,1.25,9.06,0,9.06,3.3,5.76,0,0,5.76,2.57,0,0,22.49,
Tasty Bite Eatables,Mar '18,7463.20,1946.36,4171.72,-0.145095548,136.5,0.043,79.27,41.86,0,41.86,37.41,25.46,2.69,0,5.8,2.99,0,0,0,0,0,13.98,1.64,13.59,0.57,13.02,0,13.02,5.26,7.76,0,0,7.76,2.57,0,0,30.26,
Tasty Bite Eatables,Dec '17,7906.20,1946.36,3930.99,-0.057705215,137.2,0.052,72.81,44.87,0,44.87,27.94,21.35,-1.15,0,8.13,3.06,0,0,0,0,0,11.31,1.48,8.07,0.13,7.94,0,7.94,1.18,6.76,0,0,6.76,2.57,0,0,26.32,
Tasty Bite Eatables,Sep '17,5351.05,1946.36,3413.19,-0.131722543,135.2,0.033,85.05,48.4,1.52,49.92,35.13,22.07,-0.32,0,7.8,2.65,0,0,0,0,0,11.94,2.05,15.11,0.9,14.21,0,14.21,5.78,8.43,0,0,8.43,2.57,0,0,32.84,
Tasty Bite Eatables,Jun '17,4792.10,1946.36,2975.01,-0.128378438,132,0.015,59.19,36.78,0,36.78,22.41,17.41,-2.9,0,8,2.28,0,0,0,0,0,10.03,1.63,6.63,0.74,5.89,0,5.89,2.37,3.52,0,0,3.52,2.57,0,0,13.69,
Tasty Bite Eatables,Mar '17,4658.50,1249.51,3355.09,0.127757554,130.9,0.039,70.18,39.64,0,39.64,30.54,18.9,-0.52,0,7.86,2.33,0,0,0,0,0,9.23,1.42,13.06,0.49,12.57,0,12.57,4.43,8.14,0,0,8.14,2.57,0,0,31.63,
Tasty Bite Eatables,Dec '16,3452.70,1249.51,3572.84,0.064901389,130.4,0.034,64.67,35.87,0,35.87,28.8,20.88,2.38,0,6.99,2.4,0,0,0,0,0,9.11,0.58,8.5,0.53,7.97,0,7.97,3.07,4.9,0,0,4.9,2.57,0,0,19.14,
Tasty Bite Eatables,Sep '16,3981.10,1249.51,3006.05,-0.158638506,130.9,0.044,58.57,36.27,0,36.27,22.3,16.78,-0.41,0,6.86,2.21,0,0,0,0,0,8.12,0.81,6.33,0.29,6.04,0,6.04,1.87,4.17,0,0,4.17,2.57,0,0,16.23,
Tasty Bite Eatables,Jun '16,2680.60,1249.51,3208.66,0.067400742,130.1,0.058,58.85,36.58,0,36.58,22.27,14.12,-2.02,0,6.45,2.14,0,0,0,0,0,7.55,0.26,8.41,0.29,8.12,0,8.12,2.55,5.57,0,0,5.57,2.57,0,0,21.68,
Tasty Bite Eatables,Mar '16,1690.50,463.67,2503.95,-0.219627508,126,0.048,62.93,36.22,0,36.22,26.71,16.51,0.28,0,5.96,1.9,0,0,0,0,0,8.37,0.01,10.21,0.88,9.33,0,9.33,3.42,5.91,0,0,5.91,2.57,0,0,22.92,
Tasty Bite Eatables,Dec '15,1625.25,463.67,2435.4,-0.027376745,126.1,0.056,51.85,30.88,0,30.88,20.97,15.66,0.5,0,5.71,1.89,0,0,0,0,0,7.56,0.08,5.39,0.46,4.93,0,4.93,1.51,3.42,0,0,3.42,2.57,0,0,13.35,
Tasty Bite Eatables,Sep '15,1187.00,463.67,3064.43,0.258286113,125.4,0.044,54.7,32.12,0,32.12,22.58,15.35,0.25,0,4.93,1.86,0,0,0,0,0,8.31,0.16,7.39,0.53,6.86,0,6.86,2.24,4.62,0,0,4.62,2.57,0,0,17.99,
Tasty Bite Eatables,Jun '15,1249.25,463.67,3915.3,0.27766012,123,0.054,38.84,25.53,0,25.53,13.31,9.83,-2.33,0,4.61,1.73,0,0,0,0,0,5.82,0.51,3.99,0.53,3.46,0,3.46,1.28,2.18,0,0,2.18,2.57,0,0,8.53,
Tasty Bite Eatables,Mar '15,605.00,187.97,3299.23,-0.157349373,120.2,0.053,45.55,25.28,0,25.28,20.27,14.72,1.28,0,4.62,1.67,0,0,0,0,0,7.15,0.48,6.03,1.21,4.82,0,4.82,1.64,3.18,0,0,3.18,2.57,0,0,12.36,
Tasty Bite Eatables,Dec '14,583.00,187.97,3806.55,0.153769213,119.4,0.043,40.44,25.21,0,25.21,15.23,11.88,-0.58,0,4.26,1.74,0,0,0,0,0,6.46,0.39,3.74,0.54,3.2,0,3.2,0.9,2.3,0,0,2.3,2.57,0,0,8.92,
Tasty Bite Eatables,Sep '14,613.70,187.97,5835.69,0.533065374,120.1,0.056,47.32,28.63,0,28.63,18.69,13.85,0.27,0,4.41,1.77,0,0,0,0,0,7.4,0.35,5.19,0.54,4.65,0,4.65,1.9,2.75,0,0,2.75,2.57,0,0,10.76,
Tasty Bite Eatables,Jun '14,306.80,187.97,6471.05,0.108874872,116.7,0.068,43.54,27.62,0,27.62,15.92,11.69,-1.06,0,4.42,1.67,0,0,0,0,0,6.66,0.09,4.32,0.49,3.83,0,3.83,1.27,2.56,0,0,2.56,2.57,0,0,10,
HU,Mar '20,2056.90,491383.4,2392.98,-0.198991786,148.6,0.058,"9,011.00","2,389.00","2,001.00",4390,4621,2811,-220,0,355,255,0,"1,164.00",0,0,0,"1,257.00",266,2076,26,2050,-58,2108,473,1635,0,0,1635,216,0,0,7.02,
HU,Dec '19,1923.25,491383.4,4509.77,0.884583239,150.4,0.074,"9,808.00","2,793.00","1,561.00",4354,5454,3241,136,0,454,232,0,"1,163.00",0,0,0,"1,256.00",140,2353,25,2328,-99,2427,613,1814,0,0,1814,216,0,0,7.47,
HU,Sep '19,1982.45,491383.4,4282.87,-0.050312987,145.8,0.04,"9,852.00","3,229.00","1,447.00",4676,5176,2970,-191,0,430,237,0,"1,198.00",0,0,0,"1,296.00",180,2386,31,2355,-47,2402,460,1942,0,0,1942,216,0,0,8.54,
HU,Jun '19,1787.30,491383.4,4149.67,-0.03110064,142.9,0.032,"10,114.00","3,161.00","1,333.00",4494,5620,3187,154,0,452,214,0,"1,161.00",0,0,0,"1,206.00",147,2580,24,2556,7,2549,808,1741,0,0,1741,216,0,0,8.11,
HU,Mar '19,1707.80,365196.8,4432.04,0.068046375,140.4,0.029,"9,945.00","3,319.00","1,284.00",4603,5342,3155,140,0,402,134,0,"1,107.00",0,0,0,"1,372.00",118,2305,7,2298,-71,2369,689,1680,0,0,1680,216,0,0,7.11,
HU,Dec '18,1818.05,365196.8,3822.07,-0.137627368,140.1,0.021,"9,558.00","3,199.00","1,337.00",4536,5022,3109,-118,0,465,133,0,"1,186.00",0,0,0,"1,443.00",106,2019,7,2012,-62,2074,506,1568,0,0,1568,216,0,0,6.67,
HU,Sep '18,1607.65,365196.8,5448.55,0.425549506,140.2,0.037,"9,234.00","3,343.00","1,182.00",4525,4709,2820,-90,0,438,130,0,"1,106.00",0,0,0,"1,236.00",305,2194,7,2187,-35,2222,627,1595,0,0,1595,216,0,0,7.04,
HU,Jun '18,1641.85,365196.8,4879.75,-0.104394747,138.5,0.049,"9,487.00","3,379.00",905,4284,5203,3079,80,0,442,127,0,"1,153.00",0,0,0,"1,277.00",135,2259,7,2252,-59,2311,664,1647,0,0,1647,216,0,0,7.06,
HU,Mar '18,1335.90,285181.4,4171.72,-0.145095548,136.5,0.043,"9,097.00","3,514.00",855,4369,4728,2808,-55,0,400,128,0,"1,070.00",0,0,0,"1,265.00",100,2020,4,2016,-64,2080,601,1479,0,0,1479,216,0,0,6.24,
HU,Dec '17,1368.10,285181.4,3930.99,-0.057705215,137.2,0.052,"8,590.00","3,188.00",768,3956,4634,3075,-51,0,491,121,0,"1,107.00",0,0,0,"1,407.00",152,1711,5,1706,-21,1727,359,1368,0,0,1368,216,0,0,6.13,
HU,Sep '17,1175.15,285181.4,3413.19,-0.131722543,135.2,0.033,"8,309.00","2,885.00","1,061.00",3946,4363,2796,-17,0,435,115,0,"1,023.00",0,0,0,"1,240.00",204,1771,6,1765,36,1729,525,1204,0,0,1204,216,0,0,5.9,
HU,Jun '17,1081.60,285181.4,2975.01,-0.128378438,132,0.015,"8,529.00","2,904.00","1,128.00",4032,4497,2745,52,0,419,114,0,905,0,0,0,"1,255.00",113,1865,6,1859,-13,1872,563,1309,0,0,1309,216,0,0,5.93,
HU,Mar '17,909.75,194835,3355.09,0.127757554,130.9,0.039,"8,213.00","3,116.00",968,4084,4129,2586,-62,0,388,108,0,853,0,0,0,"1,299.00",83,1626,6,1620,-1,1621,436,1185,0,0,1185,216.43,0,0,5.47,
HU,Dec '16,826.30,194835,3572.84,0.064901389,130.4,0.034,"7,705.98","2,573.97","1,021.22",3595.19,4110.79,2855.55,149.45,0,409.26,100.2,0,885.12,0,0,0,"1,311.52",82.44,1337.68,4.56,1333.12,153.05,1180.07,448.24,731.83,0,0,731.83,216.43,0,0,4.8,
HU,Sep '16,867.80,194835,3006.05,-0.158638506,130.9,0.044,"7,842.69","2,754.46","1,087.63",3842.09,4000.6,2690.48,119.95,0,396,94.5,0,851.38,0,0,0,"1,228.65",252.83,1562.95,4.94,1558.01,18.24,1539.77,480.65,1059.12,0,0,1059.12,216.43,0,0,5.06,
HU,Jun '16,898.60,194835,3208.66,0.067400742,130.1,0.058,"8,127.00","2,918.00","1,089.00",4007,4120,2578,-52,0,427,93,0,880,0,0,0,"1,230.00",108,1650,6,1644,71,1573,541,1032,0,0,1032,216,0,0,5.42,
HU,Mar '16,869.50,185053,2503.95,-0.219627508,126,0.048,"7,721.00","2,844.00",977,3821,3900,2516,-52,0,443,88,0,865,0,0,0,"1,172.00",101,1485,2,1483,51,1432,420,1012,0,0,1012,216.39,0,0,5.15,
HU,Dec '15,862.35,185053,2435.4,-0.027376745,126.1,0.056,"7,763.95","2,689.63",976.05,3665.68,4098.27,2750.25,76.7,0,396.92,82.16,0,920.75,0,0,0,"1,273.72",145.07,1493.09,4.49,1488.6,-79.61,1568.21,437.33,1130.88,0,0,1130.88,216.39,0,0,4.49,
HU,Sep '15,813.30,185053,3064.43,0.258286113,125.4,0.044,"7,731.39","2,899.88",975.97,3875.85,3855.54,2595.04,20.68,0,375.39,76.14,0,921.04,0,0,0,"1,201.79",194.36,1454.86,4.53,1450.33,-12.14,1462.47,456.02,1006.45,0,0,1006.45,216.39,0,0,4.45,
HU,Jun '15,916.45,185053,3915.3,0.27766012,123,0.054,"7,844.47","2,833.36","1,022.24",3855.6,3988.87,2551.79,41.97,0,357.92,74.93,0,892.73,0,0,0,"1,184.24",122.96,1560.04,4.67,1555.37,9.76,1545.61,495.97,1049.64,0,0,1049.64,216.38,0,0,4.94,
HU,Mar '15,872.90,186314.36,3299.23,-0.157349373,120.2,0.053,"7,675.63","2,929.18",913.99,3843.17,3832.46,2584.8,-16.22,0,388.42,70.52,0,"1,027.89",0,0,0,"1,114.19",98.41,1346.07,0,1346.07,179.4,1166.67,507.39,659.28,0,0,659.28,216.35,0,0,4.71,
HU,Dec '14,759.50,186314.36,3806.55,0.153769213,119.4,0.043,"7,774.32","2,860.63",949.12,3809.75,3964.57,2706.15,38.24,0,441.79,73.08,0,977.12,0,0,0,"1,175.92",120.07,1378.49,4.24,1374.25,396.58,977.67,518.66,459.01,0,0,459.01,216.32,0,0,5.79,
HU,Sep '14,745.85,186314.36,5835.69,0.533065374,120.1,0.056,"7,639.33","2,974.68",933.39,3908.07,3731.26,2565.61,50.91,0,413.01,76.37,0,925.05,0,0,0,"1,100.27",197.8,1363.45,6.33,1357.12,48.68,1308.44,417.64,890.8,0,0,890.8,216.32,0,0,4.57,
HU,Jun '14,619.50,186314.36,6471.05,0.108874872,116.7,0.068,"7,716.34","3,102.82",901.46,4004.28,3712.06,2462.24,-14.65,0,335.67,66.72,0,944.88,0,0,0,"1,129.62",202.11,1451.93,6.25,1445.68,39.64,1406.04,428.47,977.57,0,0,977.57,216.31,0,0,4.89,
Emami,Mar '20,193.70,7805.02,2392.98,-0.198991786,148.6,0.058,460.45,169.47,37.24,206.71,253.74,316.42,-43.36,0,62.42,83.58,0,74.69,0,0,0,139.09,14.02,-48.66,2.04,-50.7,0,-50.7,-13.68,-37.02,0,0,-37.02,45.32,0,0,-0.82,
Emami,Dec '19,309.80,7805.02,4509.77,0.884583239,150.4,0.074,748.28,191.26,11.1,202.36,545.92,373.8,40.79,0,63.27,83.39,0,112.66,0,0,0,73.69,15,187.12,4.06,183.06,-3.26,186.32,31.89,154.43,0,0,154.43,45.39,0,0,3.26,
Emami,Sep '19,318.20,7805.02,4282.87,-0.050312987,145.8,0.04,592.12,194,13.04,207.04,385.08,280.18,-23.49,0,64.21,80.68,0,77.6,0,0,0,81.18,16.36,121.26,8.94,112.32,0,112.32,16.65,95.67,0,0,95.67,45.39,0,0,2.11,
Emami,Jun '19,298.70,7805.02,4149.67,-0.03110064,142.9,0.032,588.55,155.71,37.98,193.69,394.86,343.72,22.5,0,65.8,78.45,0,106.18,0,0,0,70.79,49.16,100.3,3.86,96.44,0,96.44,13.88,82.56,0,0,82.56,45.39,0,0,1.82,
Emami,Mar '19,400.00,18101.07,4432.04,0.068046375,140.4,0.029,577.96,188.75,56.78,245.53,332.43,272.15,-8.98,0,57.65,79.62,0,77.56,0,0,0,66.3,18.44,78.72,5.61,73.11,0,73.11,24.58,48.53,0,0,48.53,45.39,0,0,1.07,
Emami,Dec '18,418.20,18101.07,3822.07,-0.137627368,140.1,0.021,758.51,193.76,24.83,218.59,539.92,359.47,38.33,0,59.71,77.83,0,112.07,0,0,0,71.53,8.54,188.99,5.57,183.42,-9.8,193.22,35.82,157.4,0,0,157.4,45.39,0,0,3.04,
Emami,Sep '18,493.35,18101.07,5448.55,0.425549506,140.2,0.037,571.92,196.54,22.73,219.27,352.65,250.21,-36.04,0,60.17,78.19,0,82.83,0,0,0,65.06,3.1,105.54,3.89,101.65,0,101.65,23.05,78.6,0,0,78.6,45.39,0,0,1.73,
Emami,Jun '18,527.90,18101.07,4879.75,-0.104394747,138.5,0.049,574.88,148.42,42.56,190.98,383.9,342.36,7.78,0,59.76,82.4,0,126.14,0,0,0,66.28,10.8,52.34,4.22,48.12,0,48.12,7.8,40.32,0,0,40.32,45.39,0,0,0.89,
Emami,Mar '18,534.00,24498,4171.72,-0.145095548,136.5,0.043,568.92,175.08,57,232.08,336.84,257.63,-24,0,47.78,79.4,0,89.78,0,0,0,64.67,3.86,83.07,6.4,76.67,0,76.67,26.46,50.21,0,0,50.21,22.7,0,0,2.21,
Emami,Dec '17,656.20,24498,3930.99,-0.057705215,137.2,0.052,715.59,181.17,32.73,213.9,501.69,315.99,11.95,0,57.43,78.55,0,111.57,0,0,0,56.49,5.57,191.27,8.93,182.34,0,182.34,33.27,149.07,0,0,149.07,22.7,0,0,6.57,
Emami,Sep '17,547.30,24498,3413.19,-0.131722543,135.2,0.033,579.01,154.58,14.56,169.14,409.87,282.64,24.82,0,56.47,73.66,0,0,0,0,0,127.69,6.09,133.32,10.14,123.18,0,123.18,19.24,103.94,0,0,103.94,22.7,0,0,4.58,
Emami,Jun '17,536.40,24498,2975.01,-0.128378438,132,0.015,499.1,155.08,55.13,210.21,288.89,286.9,-23.25,0,55.76,73.7,0,0,0,0,0,180.69,12.76,14.75,7.7,7.05,0,7.05,0.75,6.3,0,0,6.3,22.7,0,0,0.28,
Emami,Mar '17,527.45,21713.63,3355.09,0.127757554,130.9,0.039,527.68,163.03,57.15,220.18,307.5,218.87,-8.69,0,36.41,75.01,0,61.05,0,0,0,55.09,7.73,96.36,16.64,79.72,0,79.72,11.07,68.65,0,0,68.65,22.7,0,0,3.02,
Emami,Dec '16,477.95,21713.63,3572.84,0.064901389,130.4,0.034,682.33,186.77,33.23,220,462.33,283.57,2.93,0,55.6,80.77,0,93.99,0,0,0,50.28,8.02,186.78,12.6,174.18,0,174.18,34.11,140.07,0,0,140.07,22.7,0,0,6.17,
Emami,Sep '16,589.43,21713.63,3006.05,-0.158638506,130.9,0.044,537.37,170.14,25.46,195.6,341.77,242.46,-13.74,0,52.19,78.19,0,75.87,0,0,0,49.95,25.39,124.7,15.92,108.78,0,108.78,20.3,88.48,0,0,88.48,22.7,0,0,3.9,
Emami,Jun '16,550.03,21713.63,3208.66,0.067400742,130.1,0.058,593.37,164.16,48.21,212.37,381,313.36,6.31,0,50.76,70.7,0,134.87,0,0,0,50.72,4.05,71.69,12.46,59.23,0,59.23,10.06,49.17,0,0,49.17,22.7,0,0,2.17,
Emami,Mar '16,465.40,22502.79,2503.95,-0.219627508,126,0.048,539.11,172.93,53.02,225.95,313.16,228.67,-17.96,0,36.57,89.05,0,68.95,0,0,0,52.06,7.95,92.44,13.24,79.2,0,79.2,9.16,70.04,0,0,70.04,22.7,0,0,3.09,
Emami,Dec '15,499.08,22502.79,2435.4,-0.027376745,126.1,0.056,674.56,171.77,50.3,222.07,452.49,280.49,8.43,0,47.16,70.74,0,101.89,0,0,0,52.27,6.66,178.66,17.1,161.56,0,161.56,30.41,131.15,0,0,131.15,22.7,0,0,5.78,
Emami,Sep '15,576.40,22502.79,3064.43,0.258286113,125.4,0.044,480.57,136.59,44.64,181.23,299.34,228.21,-10.61,0,45.75,70.49,0,73.04,0,0,0,49.54,6.31,77.44,19.08,58.36,0,58.36,12.52,45.84,0,0,45.84,22.7,0,0,2.02,
Emami,Jun '15,579.93,22502.79,3915.3,0.27766012,123,0.054,494.32,163.56,36.24,199.8,294.52,220.12,0.05,0,42.28,21.85,0,108.16,0,0,0,47.78,18.21,92.61,4.33,88.28,0,88.28,3.16,85.12,0,0,85.12,22.7,0,0,3.75,
Emami,Mar '15,502.73,9626.87,3299.23,-0.157349373,120.2,0.053,495.74,136.77,40.79,177.56,318.18,201,13.14,0,28.92,9.97,0,65.91,0,0,0,83.06,30.03,147.21,0.92,146.29,0,146.29,13.95,132.34,0,0,132.34,22.7,0,0,5.83,
Emami,Dec '14,394.38,9626.87,3806.55,0.153769213,119.4,0.043,626.76,174.67,34.34,209.01,417.75,242.21,9.19,0,39.04,9.34,0,104,0,0,0,80.64,35.86,211.4,1.96,209.44,0,209.44,47.03,162.41,0,0,162.41,22.7,0,0,7.16,
Emami,Sep '14,348.70,9626.87,5835.69,0.533065374,120.1,0.056,444.1,152.92,30.43,183.35,260.75,161.7,-26.13,0,39.09,8.35,0,70.41,0,0,0,69.98,14.92,113.97,1.27,112.7,0,112.7,23.58,89.12,0,0,89.12,22.7,0,0,3.93,
Emami,Jun '14,253.73,9626.87,6471.05,0.108874872,116.7,0.068,442.04,125.17,36.1,161.27,280.77,215.81,16.82,0,37.05,3.82,0,87.41,0,0,0,70.71,22.34,87.3,0.75,86.55,0,86.55,20.79,65.76,0,0,65.76,22.7,0,0,2.9,
Britannia,Mar '20,3380.20,65849.04,2392.98,-0.198991786,148.6,0.058,"2,691.94","1,125.07",453.58,1578.65,1113.29,722.34,80.37,0,89.65,39.32,0,0,0,0,0,513,75.21,466.16,20.68,445.48,0,445.48,64.32,381.16,0,0,381.16,24.05,0,0,15.85,
Britannia,Dec '19,3027.26,65849.04,4509.77,0.884583239,150.4,0.074,"2,819.19","1,314.27",387.67,1701.94,1117.25,673.94,-6.83,0,92.26,38.44,0,0,0,0,0,550.07,64.6,507.91,22.13,485.78,0,485.78,125.43,360.35,0,0,360.35,24.05,0,0,14.99,
Britannia,Sep '19,2946.20,65849.04,4282.87,-0.050312987,145.8,0.04,"2,896.09","1,404.88",382.17,1787.05,1109.04,675.34,-32.17,0,94.18,36.65,0,0,0,0,0,576.68,130.2,563.9,14.04,549.86,35,514.86,92.28,422.58,0,0,422.58,24.03,0,0,20.5,
Britannia,Jun '19,2743.56,65849.04,4149.67,-0.03110064,142.9,0.032,"2,579.46","1,208.45",320.13,1528.58,1050.88,699.96,20.14,0,92.78,37.28,0,0,0,0,0,549.76,65.54,416.46,8.32,408.14,-16,424.14,141.93,282.21,0,0,282.21,24.03,0,0,10.41,
Britannia,Mar '19,3081.96,74019.04,4432.04,0.068046375,140.4,0.029,"2,668.10","1,210.55",342.78,1553.33,1114.77,728.83,23.62,0,77.61,36.28,0,0,0,0,0,591.32,58.3,444.24,0.34,443.9,0,443.9,154.21,289.69,0,0,289.69,24.03,0,0,12.05,
Britannia,Dec '18,3118.40,74019.04,3822.07,-0.137627368,140.1,0.021,"2,703.19","1,314.29",351.01,1665.3,1037.89,628.49,-73.76,0,85.57,36.85,0,0,0,0,0,579.83,55.42,464.82,0.37,464.45,0,464.45,161.75,302.7,0,0,302.7,24.03,0,0,12.6,
Britannia,Sep '18,2900.46,74019.04,5448.55,0.425549506,140.2,0.037,"2,704.62","1,283.35",347.51,1630.86,1073.76,680.59,13.73,0,78.41,31.49,0,0,0,0,0,556.96,39.53,432.7,0.36,432.34,0,432.34,148.77,283.57,0,0,283.57,24.03,0,0,23.61,
Britannia,Jun '18,3098.20,74019.04,4879.75,-0.104394747,138.5,0.049,"2,406.69","1,136.58",340.58,1477.16,929.53,592.18,-12.61,0,80.05,30.38,0,0,0,0,0,494.36,38.54,375.89,0.47,375.42,0,375.42,129.18,246.24,0,0,246.24,24.01,0,0,20.51,
Britannia,Mar '18,2485.74,59594.32,4171.72,-0.145095548,136.5,0.043,"2,388.38",855.79,617.8,1473.59,914.79,581.24,16.45,0,81.28,36.3,0,0,0,0,0,447.21,40.02,373.57,0.31,373.26,0,373.26,128.57,244.69,0,0,244.69,24.01,0,0,20.38,
Britannia,Dec '17,2357.88,59594.32,3930.99,-0.057705215,137.2,0.052,"2,411.00","1,287.71",301.6,1589.31,821.69,474.58,-94.72,0,66.92,27.48,0,0,0,0,0,474.9,32.76,379.87,0.38,379.49,0,379.49,130.32,249.17,0,0,249.17,24.01,0,0,20.75,
Britannia,Sep '17,2172.04,59594.32,3413.19,-0.131722543,135.2,0.033,"2,385.38","1,188.63",238.61,1427.24,958.14,633.18,60.56,0,81.22,28.2,0,0,0,0,0,463.2,49.23,374.19,0.44,373.75,0,373.75,128.41,245.34,0,0,245.34,24.01,0,0,20.43,
Britannia,Jun '17,1847.34,59594.32,2975.01,-0.128378438,132,0.015,"2,119.30","1,073.04",214.45,1287.49,831.81,546.79,13.53,0,65.46,27.78,0,0,0,0,0,440.02,33.99,319.01,0.32,318.69,0,318.69,110,208.69,0,0,208.69,24,0,0,17.39,
Britannia,Mar '17,1691.46,40541.69,3355.09,0.127757554,130.9,0.039,"2,089.34","1,080.34",236.99,1317.33,772.01,512.7,-18.43,0,61.22,26.83,0,0,0,0,0,443.08,32.55,291.86,0.35,291.51,0,291.51,94.78,196.73,0,0,196.73,24,0,0,16.39,
Britannia,Dec '16,1441.10,40541.69,3572.84,0.064901389,130.4,0.034,"2,115.96","1,085.98",235.74,1321.72,794.24,524.24,-6.31,0,60.17,24.3,0,0,0,0,0,446.08,37.93,307.93,0.36,307.57,0,307.57,96.81,210.76,0,0,210.76,24,0,0,17.56,
Britannia,Sep '16,1683.40,40541.69,3006.05,-0.158638506,130.9,0.044,"2,222.39","1,172.32",223.61,1395.93,826.46,526.66,-8.53,0,60.49,23.06,0,0,0,0,0,451.64,40.3,340.1,0.34,339.76,0,339.76,112.19,227.57,0,0,227.57,24,0,0,18.97,
Britannia,Jun '16,1378.40,40541.69,3208.66,0.067400742,130.1,0.058,"1,984.91","1,003.20",208.44,1211.64,773.27,496.49,-15.97,0,59.01,21.76,0,0,0,0,0,431.69,37.59,314.37,0.29,314.08,0,314.08,103.69,210.39,0,0,210.39,24,0,0,17.53,
